Isotope,A,Z,YIELD,MASS,METALLICITY,IRV
Sn18,11.0,50.0,8.9315e-09,2.0,0.014,60.0
Sn19,11.0,50.0,2.898e-09,2.0,0.014,60.0
Sn20,12.0,50.0,1.2562e-08,2.0,0.014,60.0
Sn21,12.0,50.0,0.0,2.0,0.014,60.0
Sn22,12.0,50.0,7.9836e-10,2.0,0.014,60.0
Sn23,12.0,50.0,0.0,2.0,0.014,60.0
Sn24,12.0,50.0,9.752e-10,2.0,0.014,60.0
Sb21,12.0,51.0,1.377e-09,2.0,0.014,60.0
Sb22,12.0,51.0,0.0,2.0,0.014,60.0
Sb23,12.0,51.0,6.6645e-10,2.0,0.014,60.0
Sb24,12.0,51.0,0.0,2.0,0.014,60.0
Sb25,12.0,51.0,0.0,2.0,0.014,60.0
Te22,12.0,52.0,1.4702e-09,2.0,0.014,60.0
Te23,12.0,52.0,5.2538e-10,2.0,0.014,60.0
Te24,12.0,52.0,2.8275e-09,2.0,0.014,60.0
Te25,12.0,52.0,2.1471e-09,2.0,0.014,60.0
Te26,12.0,52.0,7.3236e-09,2.0,0.014,60.0
Te27,12.0,52.0,0.0,2.0,0.014,60.0
Te28,12.0,52.0,7.4035e-09,2.0,0.014,60.0
Te30,13.0,52.0,7.6919e-09,2.0,0.014,60.0
I127,12.0,53.0,5.0015e-09,2.0,0.014,60.0
I128,12.0,53.0,0.0,2.0,0.014,60.0
I129,12.0,53.0,7.9335e-12,2.0,0.014,60.0
I130,13.0,53.0,0.0,2.0,0.014,60.0
I131,13.0,53.0,0.0,2.0,0.014,60.0
I132,13.0,53.0,0.0,2.0,0.014,60.0
I133,13.0,53.0,0.0,2.0,0.014,60.0
Xe28,12.0,54.0,1.5477e-09,2.0,0.014,60.0
Xe29,12.0,54.0,7.2717e-09,2.0,0.014,60.0
Xe30,13.0,54.0,3.1829e-09,2.0,0.014,60.0
Xe31,13.0,54.0,6.1129e-09,2.0,0.014,60.0
Xe32,13.0,54.0,1.0427e-08,2.0,0.014,60.0
Xe33,13.0,54.0,0.0,2.0,0.014,60.0
Xe34,13.0,54.0,2.5646e-09,2.0,0.014,60.0
Xe35,13.0,54.0,0.0,2.0,0.014,60.0
Xe36,13.0,54.0,2.11e-09,2.0,0.014,60.0
Cs33,13.0,55.0,2.2298e-09,2.0,0.014,60.0
Cs34,13.0,55.0,0.0,2.0,0.014,60.0
Cs35,13.0,55.0,1.0596e-10,2.0,0.014,60.0
Cs36,13.0,55.0,0.0,2.0,0.014,60.0
Cs37,13.0,55.0,0.0,2.0,0.014,60.0
Ba34,13.0,56.0,1.8442e-09,2.0,0.014,60.0
Ba35,13.0,56.0,1.9142e-09,2.0,0.014,60.0
Ba36,13.0,56.0,4.9139e-09,2.0,0.014,60.0
Ba37,13.0,56.0,4.8655e-09,2.0,0.014,60.0
Ba38,13.0,56.0,3.1596e-08,2.0,0.014,60.0
Ba39,13.0,56.0,0.0,2.0,0.014,60.0
Ba40,14.0,56.0,0.0,2.0,0.014,60.0
La39,13.0,57.0,3.8998e-09,2.0,0.014,60.0
La40,14.0,57.0,0.0,2.0,0.014,60.0
Ce40,14.0,58.0,8.8339e-09,2.0,0.014,60.0
Ce41,14.0,58.0,0.0,2.0,0.014,60.0
Ce42,14.0,58.0,6.8454e-10,2.0,0.014,60.0
Ce43,14.0,58.0,0.0,2.0,0.014,60.0
Ce44,14.0,58.0,0.0,2.0,0.014,60.0
Pr41,14.0,59.0,1.1664e-09,2.0,0.014,60.0
Pr42,14.0,59.0,0.0,2.0,0.014,60.0
Pr43,14.0,59.0,0.0,2.0,0.014,60.0
Pr45,14.0,59.0,0.0,2.0,0.014,60.0
Nd42,14.0,60.0,1.9338e-09,2.0,0.014,60.0
Nd43,14.0,60.0,6.2872e-10,2.0,0.014,60.0
Nd44,14.0,60.0,1.3474e-09,2.0,0.014,60.0
Nd45,14.0,60.0,4.1882e-10,2.0,0.014,60.0
