  ele   Z    A    013a000     015a000     020a000     025a000     030a000     040a000     060a000     080a000     120a000
Br79   35   79  1.2796E+00  1.4764E+00  3.7899E+00  1.3398E+01  1.0000E+00  9.9992E-01  9.7977E-01  9.6048E-01  9.5002E-01
Br81   35   81  1.3168E+00  1.5089E+00  3.1231E+00  9.7239E+00  9.9997E-01  9.9998E-01  1.0103E+00  1.0176E+00  1.0219E+00
Kr78   36   78  1.4596E+00  2.0275E+00  2.7534E+00  1.1121E+01  9.9999E-01  9.9999E-01  9.8065E-01  9.4748E-01  9.2936E-01
Kr80   36   80  1.7658E+00  2.4135E+00  4.4823E+00  1.2342E+01  1.0000E+00  1.0003E+00  1.0858E+00  1.1731E+00  1.2136E+00
Kr82   36   82  1.3312E+00  1.4519E+00  3.0918E+00  1.0113E+01  9.9997E-01  1.0001E+00  1.0270E+00  1.0968E+00  1.1288E+00
Kr83   36   83  1.1191E+00  1.2783E+00  2.4727E+00  7.3501E+00  9.9996E-01  9.9996E-01  9.8856E-01  9.8370E-01  9.7868E-01
Kr84   36   84  1.0658E+00  1.1373E+00  1.8538E+00  3.8720E+00  9.9999E-01  1.0000E+00  9.9890E-01  9.9502E-01  9.9327E-01
Kr86   36   86  1.2286E+00  1.4545E+00  2.7132E+00  6.0226E+00  9.9997E-01  1.0000E+00  9.9977E-01  9.9889E-01  9.9884E-01
Rb85   37   85  1.1620E+00  1.3111E+00  2.5148E+00  5.4409E+00  9.9999E-01  9.9999E-01  9.9753E-01  9.8936E-01  9.8568E-01
Rb87   37   87  1.5515E+00  2.1660E+00  4.0788E+00  9.0301E+00  9.9991E-01  9.9994E-01  9.9906E-01  9.9614E-01  9.9488E-01
Sr84   38   84  2.1821E+00  3.1983E+00  3.4922E+00  1.6422E+01  9.9998E-01  9.9998E-01  9.7836E-01  9.4505E-01  9.2664E-01
Sr86   38   86  1.4899E+00  1.9473E+00  3.7998E+00  6.9836E+00  9.9999E-01  1.0001E+00  1.0812E+00  1.2638E+00  1.3549E+00
Sr87   38   87  1.1891E+00  1.5580E+00  2.8927E+00  4.7468E+00  1.0002E+00  1.0001E+00  1.0171E+00  1.1090E+00  1.1473E+00
