  ele   Z    A    013a000     015a000     020a000     025a000     030a000     040a000     060a000     080a000     120a000
Mo97   42   97  9.9185E-01  9.7720E-01  1.0569E+00  1.3258E+00  1.1163E+00  1.5113E+00  1.4080E+00  1.8716E+00  2.1523E+00
Mo98   42   98  9.9045E-01  9.9734E-01  1.0726E+00  1.3157E+00  1.0723E+00  1.5615E+00  1.4814E+00  2.0671E+00  2.3311E+00
Xe32   54  132  9.7517E-01  9.7277E-01  1.0065E+00  1.0799E+00  9.9573E-01  1.2656E+00  1.2684E+00  1.6289E+00  1.6793E+00
Xe34   54  134  9.7535E-01  9.6133E-01  9.3569E-01  9.8163E-01  1.3213E+00  1.4335E+00  1.7380E+00  2.4432E+00  2.4936E+00
Cs33   55  133  9.4529E-01  9.3799E-01  9.1836E-01  1.0015E+00  1.0224E+00  1.2420E+00  1.3217E+00  1.6217E+00  1.5362E+00
Ba34   56  134  1.2562E+00  1.3676E+00  1.6327E+00  1.8081E+00  1.6574E+00  2.2301E+00  2.1453E+00  3.4011E+00  3.9233E+00
Ba35   56  135  9.4341E-01  9.2452E-01  9.1479E-01  9.8710E-01  1.0592E+00  1.3029E+00  1.3002E+00  1.5298E+00  1.9497E+00
Ba36   56  136  1.0753E+00  1.1592E+00  1.3661E+00  1.5911E+00  1.3623E+00  2.2461E+00  1.9860E+00  2.7515E+00  2.9799E+00
Ba37   56  137  9.9273E-01  1.0155E+00  1.0923E+00  1.2828E+00  1.4616E+00  2.0749E+00  2.0686E+00  2.4780E+00  2.4090E+00
Ba38   56  138  1.0132E+00  1.0506E+00  1.1823E+00  1.3884E+00  1.3685E+00  1.8393E+00  1.8154E+00  2.1138E+00  2.0727E+00
La38   57  138  9.8943E-01  9.8489E-01  9.7308E-01  9.2029E-01  1.0180E+00  9.8341E-01  1.0465E+00  1.0947E+00  1.1004E+00
La39   57  139  1.0096E+00  1.0427E+00  1.1748E+00  1.4288E+00  1.4992E+00  1.8770E+00  1.8614E+00  1.9706E+00  1.8062E+00
Ce40   58  140  9.9152E-01  9.9782E-01  1.0577E+00  1.1897E+00  1.2387E+00  1.4407E+00  1.4257E+00  1.5394E+00  1.4940E+00
Pr41   59  141  9.7981E-01  9.6510E-01  1.0015E+00  1.1895E+00  1.3908E+00  1.5995E+00  1.7047E+00  2.0093E+00  1.7407E+00
Nd42   60  142  1.0588E+00  1.1294E+00  1.2525E+00  1.4636E+00  1.4372E+00  1.7790E+00  1.6586E+00  1.9231E+00  1.8893E+00
Nd43   60  143  9.3438E-01  9.0851E-01  8.7959E-01  9.3420E-01  8.5118E-01  9.0894E-01  8.9428E-01  9.0892E-01  9.4092E-01
Nd44   60  144  9.7887E-01  9.6263E-01  9.6312E-01  1.0026E+00  9.3402E-01  9.9566E-01  9.8748E-01  1.0375E+00  1.0658E+00
Hg02   80  202  9.9489E-01  1.0008E+00  1.0551E+00  1.1483E+00  1.0886E+00  1.2821E+00  1.2388E+00  1.3734E+00  1.4145E+00
Hg04   80  204  9.6489E-01  9.2072E-01  8.7410E-01  8.2980E-01  9.2599E-01  8.1092E-01  9.2831E-01  1.0363E+00  1.3219E+00
Tl03   81  203  9.8355E-01  9.9671E-01  1.0615E+00  1.2636E+00  1.1363E+00  1.4653E+00  1.3450E+00  1.3633E+00  1.3240E+00
Tl05   81  205  9.7501E-01  9.7382E-01  9.9104E-01  1.0237E+00  1.0602E+00  1.1659E+00  1.1745E+00  1.2227E+00  1.1815E+00
Pb04   82  204  1.1027E+00  1.2300E+00  1.4665E+00  1.7666E+00  1.6626E+00  2.3479E+00  2.0583E+00  2.3035E+00  2.2574E+00
Pb06   82  206  1.0039E+00  1.0272E+00  1.1225E+00  1.2197E+00  1.2157E+00  1.4650E+00  1.4317E+00  1.5314E+00  1.4500E+00
Pb07   82  207  9.8915E-01  9.9704E-01  1.0579E+00  1.2461E+00  1.2028E+00  1.4298E+00  1.3882E+00  1.4407E+00  1.3599E+00
Pb08   82  208  9.8705E-01  9.8860E-01  1.0298E+00  1.1197E+00  1.1145E+00  1.2498E+00  1.2342E+00  1.2960E+00  1.2559E+00
Bi09   83  209  9.7191E-01  9.6033E-01  9.6153E-01  9.8249E-01  9.3921E-01  9.5274E-01  9.6239E-01  9.7663E-01  9.8039E-01
  ele   Z    A    013a150     015a150     020a150     025a150     030a150     040a150     060a150     080a150     120a150
H       1    1  6.1009E-01  5.6250E-01  5.0539E-01  4.7427E-01  4.3327E-01  4.2903E-01  4.1616E-01  4.0833E-01  3.9121E-01
H2      1    2  6.4759E-13  4.6778E-11  4.9406E-08  8.3988E-07  2.8840E-07  7.7875E-06  1.2416E-04  2.1708E-04  7.8692E-04
