# Uncorrected
# names=['KIC', 'Teff1', 'e_Teff1', '[M/H]1', 'e_[M/H]1', 'M1', 'E_M1', 'e_M1', 'R1', 'E_R1', 'e_R1', 'log.g1', 'E_log.g1', 'e_log.g1', 'rho1', 'E_rho1', 'e_rho1']
11905840 4915  94 -0.24 0.06     1.37     0.13     0.12     6.21     0.23     0.22     2.989     0.011     0.011     0.00573     0.00015     0.00015
11955410 4690  89 -0.14 0.06     1.06     0.11     0.09    10.54     0.44     0.40     2.419     0.010     0.010     0.00091     0.00003     0.00003
12005162 4880  91 -0.17 0.06     1.25     0.21     0.19     5.14     0.38     0.37     3.110     0.012     0.013     0.00915     0.00057     0.00056
12004945 4493  76  0.19 0.05     1.21     0.14     0.13     7.07     0.32     0.31     2.822     0.013     0.014     0.00342     0.00011     0.00011
11905997 4585  99 -0.38 0.07     1.15     0.15     0.14     7.87     0.39     0.37     2.707     0.015     0.016     0.00236     0.00007     0.00007
11805876 4693  75  0.22 0.05     1.91     0.21     0.16     7.13     0.28     0.24     3.014     0.011     0.011     0.00528     0.00014     0.00014
11805460 4561  79  0.11 0.05     1.23     0.14     0.13    10.80     0.48     0.45     2.460     0.013     0.013     0.00097     0.00003     0.00003
11805792 4622  89 -0.13 0.06     1.14     0.12     0.12    10.65     0.45     0.45     2.439     0.011     0.012     0.00094     0.00003     0.00003
11855110 4814  92 -0.21 0.06     1.25     0.12     0.14    10.66     0.40     0.45     2.478     0.011     0.012     0.00103     0.00003     0.00003
11754056 4535  81  0.06 0.05     0.96     0.13     0.10    10.03     0.57     0.48     2.423     0.011     0.010     0.00096     0.00004     0.00004
11804677 4508  86 -0.05 0.06     2.26     0.21     0.32    19.65     0.76     1.06     2.201     0.014     0.016     0.00030     0.00001     0.00001
11703230 4688  90 -0.17 0.06     1.09     0.14     0.11    10.69     0.50     0.46     2.417     0.015     0.013     0.00089     0.00003     0.00003
11753722 4498  99 -0.37 0.07     1.06     0.11     0.10     8.84     0.37     0.37     2.570     0.009     0.010     0.00153     0.00005     0.00005
11805217 4708  91 -0.19 0.06     1.45     0.33     0.30     9.10     0.67     0.67     2.681     0.029     0.031     0.00192     0.00006     0.00006
12101990 4626  95 -0.28 0.07     0.88     0.08     0.04    10.06     0.31     0.20     2.380     0.009     0.009     0.00087     0.00002     0.00003
11954465 4572  85 -0.02 0.06     1.12     0.13     0.11     6.15     0.28     0.26     2.909     0.011     0.010     0.00481     0.00017     0.00017
11954989 4419  81  0.06 0.05     1.35     0.26     0.25    13.37     0.89     0.92     2.313     0.025     0.027     0.00056     0.00002     0.00002
11905393 4585  85 -0.03 0.06     0.98     0.12     0.08    10.26     0.50     0.36     2.410     0.012     0.011     0.00091     0.00003     0.00003
11854450 4783 100 -0.40 0.07     0.88     0.10     0.04     9.90     0.40     0.26     2.397     0.012     0.010     0.00092     0.00003     0.00003
11904929 4876  94 -0.27 0.06     1.60     0.20     0.15    11.06     0.58     0.42     2.554     0.014     0.014     0.00118     0.00004     0.00004
11954278 4576  80  0.09 0.05     1.29     0.13     0.13    11.10     0.44     0.47     2.458     0.012     0.012     0.00094     0.00003     0.00003
11905159 4473  92 -0.21 0.06     1.23     0.13     0.13     9.28     0.41     0.40     2.594     0.010     0.010     0.00154     0.00005     0.00005
11953668 4656  98 -0.35 0.07     1.10     0.13     0.12    11.30     0.53     0.49     2.372     0.015     0.015     0.00076     0.00002     0.00002
11953849 4690  86 -0.07 0.06     1.15     0.14     0.15    10.60     0.50     0.51     2.448     0.015     0.016     0.00097     0.00003     0.00003
12003742 4992  87 -0.07 0.06     2.48     0.35     0.37    11.62     0.55     0.66     2.702     0.016     0.018     0.00159     0.00005     0.00005
11753104 4584 112 -0.70 0.08     1.29     0.15     0.15    11.58     0.58     0.58     2.421     0.012     0.013     0.00083     0.00003     0.00003
11753010 4194  81  0.06 0.05     1.10     0.27     0.16    16.82     1.37     0.87     2.032     0.030     0.022     0.00023     0.00001     0.00001
11753018 4548  78  0.15 0.05     1.47     0.16     0.15     9.04     0.37     0.36     2.692     0.013     0.013     0.00199     0.00005     0.00005
11753211 4842  90 -0.16 0.06     1.31     0.18     0.16    11.21     0.61     0.57     2.454     0.014     0.015     0.00093     0.00003     0.00003
11753439 4488  88 -0.11 0.06     1.18     0.17     0.16     8.81     0.50     0.48     2.622     0.014     0.015     0.00173     0.00007     0.00007
11752396 4566  92 -0.21 0.06     1.38     0.25     0.25    11.67     0.74     0.78     2.444     0.022     0.025     0.00087     0.00003     0.00003
11752358 4734 116 -0.80 0.08     1.15     0.12     0.12     7.86     0.34     0.35     2.707     0.013     0.013     0.00237     0.00008     0.00007
11752707 4403 101 -0.42 0.07     1.05     0.18     0.16    14.13     0.88     0.79     2.158     0.019     0.018     0.00037     0.00001     0.00001
11802908 4640  80  0.09 0.05     1.34     0.13     0.12     6.68     0.27     0.26     2.914     0.010     0.010     0.00448     0.00015     0.00015
