isotope,a,z,yield,mass,metallicity,mass_ej,massfrac
fe56,56,26,2.59545013602e-05,0.966,0.0001,4.534,5.724415827128364e-06
fe57,57,26,6.479947795310001e-07,0.966,0.0001,4.534,1.4291900739545658e-07
fe58,58,26,1.39314075164e-07,0.966,0.0001,4.534,3.072652738509043e-08
fe59,59,26,4.6095597000002475e-21,0.966,0.0001,4.534,1.016665130127977e-21
fe60,60,26,1.4612361e-07,0.966,0.0001,4.534,3.222840979267755e-08
fe61,61,26,0.0,0.966,0.0001,4.534,0.0
co59,59,27,1.0007265885799999e-07,0.966,0.0001,4.534,2.207160539435377e-08
co60,60,27,6.1618495e-13,0.966,0.0001,4.534,1.3590316497573887e-13
co61,61,27,0.0,0.966,0.0001,4.534,0.0
ni58,58,28,1.0954862844e-06,0.966,0.0001,4.534,2.4161585452139395e-07
ni59,59,28,2.2304334e-11,0.966,0.0001,4.534,4.919350242611381e-12
ni60,60,28,4.5126598073399997e-07,0.966,0.0001,4.534,9.952932967225407e-08
ni61,61,28,5.41371780762e-07,0.966,0.0001,4.534,1.1940268653771504e-07
ni62,62,28,2.354497205035284e-13,0.966,0.0001,4.534,5.192980161083556e-14
g,1,0,1.4144817485824002e-07,1.008,0.0001,4.992,2.833497092512821e-08
n,1,0,0.0,1.008,0.0001,4.992,0.0
p,1,1,3.28743144784,1.008,0.0001,4.992,0.6585399534935897
d,2,1,2.2722812e-17,1.008,0.0001,4.992,4.5518453525641024e-18
he3,3,2,1.0875112e-06,1.008,0.0001,4.992,2.1785080128205128e-07
he4,4,2,1.6663497003999999,1.008,0.0001,4.992,0.33380402652243585
li7,7,3,1.290242999999985e-10,1.008,0.0001,4.992,2.5846213942307395e-11
be7,7,4,4.0447928e-10,1.008,0.0001,4.992,8.102549679487179e-11
b8,8,5,1.4503662e-19,1.008,0.0001,4.992,2.9053810096153844e-20
c12,12,6,0.001934156012768,1.008,0.0001,4.992,0.0003874511243525641
c13,13,6,0.0003883136001024,1.008,0.0001,4.992,7.778717950769231e-05
c14,14,6,8.4908491e-10,1.008,0.0001,4.992,1.7008912459935898e-10
n13,13,7,0.0,1.008,0.0001,4.992,0.0
n14,14,7,0.0338826148036096,1.008,0.0001,4.992,0.006787382773158974
n15,15,7,2.279569053088e-06,1.008,0.0001,4.992,4.5664444172435897e-07
o14,14,8,0.0,1.008,0.0001,4.992,0.0
o15,15,8,0.0,1.008,0.0001,4.992,0.0
o16,16,8,0.000877184091408,1.008,0.0001,4.992,0.00017571796702884617
o17,17,8,3.1347874103999998e-06,1.008,0.0001,4.992,6.279622216346153e-07
o18,18,8,2.2422975199999517e-09,1.008,0.0001,4.992,4.491781891025544e-10
o19,19,8,0.0,1.008,0.0001,4.992,0.0
f17,17,9,0.0,1.008,0.0001,4.992,0.0
f18,18,9,0.0,1.008,0.0001,4.992,0.0
f19,19,9,2.92908024368e-08,1.008,0.0001,4.992,5.867548565064102e-09
f20,20,9,0.0,1.008,0.0001,4.992,0.0
ne19,19,10,0.0,1.008,0.0001,4.992,0.0
ne20,20,10,0.0001301484273664,1.008,0.0001,4.992,2.607139971282051e-05
ne21,21,10,1.88156268944e-07,1.008,0.0001,4.992,3.7691560285256414e-08
ne22,22,10,0.0003969820216832,1.008,0.0001,4.992,7.952364216410256e-05
ne23,23,10,0.0,1.008,0.0001,4.992,0.0
na21,21,11,0.0,1.008,0.0001,4.992,0.0
na22,22,11,8.1351964e-10,1.008,0.0001,4.992,1.62964671474359e-10
na23,23,11,1.131584313504e-05,1.008,0.0001,4.992,2.2667954998076924e-06
na24,24,11,0.0,1.008,0.0001,4.992,0.0
mg23,23,12,0.0,1.008,0.0001,4.992,0.0
mg24,24,12,1.5645559012e-05,1.008,0.0001,4.992,3.134126404647436e-06
mg25,25,12,0.00011373391838592,1.008,0.0001,4.992,2.2783236856153846e-05
mg26,26,12,0.00035220192387007995,1.008,0.0001,4.992,7.055327000602564e-05
mg27,27,12,0.0,1.008,0.0001,4.992,0.0
al25,25,13,0.0,1.008,0.0001,4.992,0.0
al26,26,13,6.0011062e-06,1.008,0.0001,4.992,1.2021446714743588e-06
al27,27,13,2.7533628417919998e-05,1.008,0.0001,4.992,5.5155505644871795e-06
al28,28,13,0.0,1.008,0.0001,4.992,0.0
si27,27,14,0.0,1.008,0.0001,4.992,0.0
si28,28,14,2.7259005446400002e-05,1.008,0.0001,4.992,5.46053795e-06
si29,29,14,2.2211119249600003e-06,1.008,0.0001,4.992,4.4493427983974366e-07
si30,30,14,3.21634401712e-06,1.008,0.0001,4.992,6.442996829166666e-07
si31,31,14,0.0,1.008,0.0001,4.992,0.0
si32,32,14,2.0224739e-10,1.008,0.0001,4.992,4.0514300881410255e-11
si33,33,14,0.0,1.008,0.0001,4.992,0.0
p29,29,15,0.0,1.008,0.0001,4.992,0.0
p30,30,15,0.0,1.008,0.0001,4.992,0.0
p31,31,15,1.211506723712e-06,1.008,0.0001,4.992,2.426896481794872e-07
p32,32,15,5.1629962e-14,1.008,0.0001,4.992,1.034254046474359e-14
p33,33,15,3.1189862e-15,1.008,0.0001,4.992,6.247969150641026e-16
p34,34,15,0.0,1.008,0.0001,4.992,0.0
s32,32,16,9.9237753556e-06,1.008,0.0001,4.992,1.987935768349359e-06
s33,33,16,8.81413089e-08,1.008,0.0001,4.992,1.765651219951923e-08
s34,34,16,4.7231045732e-06,1.008,0.0001,4.992,9.461347302083333e-07
s35,35,16,1.455083e-08,1.008,0.0001,4.992,2.9148297275641026e-09
fe54,54,26,1.7366665912e-06,1.008,0.0001,4.992,3.478899421474359e-07
fe55,55,26,5.2566245e-09,1.008,0.0001,4.992,1.0530097155448717e-09
fe56,56,26,2.85810210276e-05,1.008,0.0001,4.992,5.725364789182693e-06
fe57,57,26,7.137288246200001e-07,1.008,0.0001,4.992,1.4297452416266028e-07
fe58,58,26,1.41689058432e-07,1.008,0.0001,4.992,2.8383224846153848e-08
fe59,59,26,7.699780999999999e-20,1.008,0.0001,4.992,1.5424240785256408e-20
fe60,60,26,1.4503402e-07,1.008,0.0001,4.992,2.905328926282051e-08
fe61,61,26,0.0,1.008,0.0001,4.992,0.0
co59,59,27,1.0546895850399999e-07,1.008,0.0001,4.992,2.1127595854166664e-08
co60,60,27,8.2411275e-13,1.008,0.0001,4.992,1.6508668870192308e-13
co61,61,27,0.0,1.008,0.0001,4.992,0.0
ni58,58,28,1.2062414702e-06,1.008,0.0001,4.992,2.416349098958333e-07
ni59,59,28,2.7055368e-11,1.008,0.0001,4.992,5.419745192307692e-12
ni60,60,28,4.936733005920001e-07,1.008,0.0001,4.992,9.889288874038463e-08
ni61,61,28,6.2621829856e-07,1.008,0.0001,4.992,1.254443707051282e-07
ni62,62,28,1.6860944000009625e-11,1.008,0.0001,4.992,3.3775929487198766e-12
g,1,0,1.4752072173118e-07,1.006,0.0001,4.994,2.9539591856463756e-08
n,1,0,0.0,1.006,0.0001,4.994,0.0
p,1,1,3.24095422588,1.006,0.0001,4.994,0.6489696087064477
d,2,1,2.197042e-17,1.006,0.0001,4.994,4.39936323588306e-18
he3,3,2,1.1180266e-08,1.006,0.0001,4.994,2.2387396876251505e-09
he4,4,2,1.7124632828,1.006,0.0001,4.994,0.3429041415298358
li7,7,3,4.847799999998512e-12,1.006,0.0001,4.994,9.707248698435145e-13
be7,7,4,1.3046179e-11,1.006,0.0001,4.994,2.6123706447737288e-12
b8,8,5,0.0,1.006,0.0001,4.994,0.0
c12,12,6,0.001265077933326,1.006,0.0001,4.994,0.00025331957014937927
c13,13,6,0.0002995479450143,1.006,0.0001,4.994,5.9981566883119745e-05
c14,14,6,4.6594884e-10,1.006,0.0001,4.994,9.330173007609132e-11
n13,13,7,0.0,1.006,0.0001,4.994,0.0
n14,14,7,0.0374555108512072,1.006,0.0001,4.994,0.0075001022929930316
n15,15,7,2.729931482316e-06,1.006,0.0001,4.994,5.466422671838206e-07
o14,14,8,0.0,1.006,0.0001,4.994,0.0
