  ele   Z    A    013a000     015a000     020a000     025a000     030a000     040a000     060a000     080a000     120a000
  Cl   17    0  7.7921E+00  1.1672E+01  8.4945E+00  5.5200E+00  1.0190E+00  1.0248E+00  1.0219E+00  1.0262E+00  1.0181E+00
  Ar   18    0  2.9521E+01  3.0191E+01  1.6887E+01  1.2521E+01  9.9757E-01  9.9682E-01  9.9729E-01  9.9666E-01  9.9767E-01
  K    19    0  1.8891E+01  2.6424E+01  7.8205E+00  5.3737E+00  1.0419E+00  1.0552E+00  1.0498E+00  1.0555E+00  1.0386E+00
  Ca   20    0  2.8145E+01  1.9091E+01  9.0190E+00  8.6335E+00  9.9818E-01  9.9761E-01  9.9793E-01  9.9764E-01  9.9835E-01
  Sc   21    0  2.4712E+01  3.0945E+01  1.5951E+01  1.4010E+01  1.0497E+00  1.0665E+00  1.0613E+00  1.0602E+00  1.0419E+00
  Ti   22    0  6.0355E+00  9.2040E+00  5.7485E+00  4.5354E+00  1.0008E+00  1.0011E+00  1.0010E+00  1.0013E+00  1.0009E+00
  V    23    0  5.5406E+00  4.1743E+01  6.8532E+00  3.6491E+00  1.0147E+00  1.0203E+00  1.0200E+00  1.0144E+00  1.0100E+00
  Cr   24    0  5.7708E+00  3.1323E+01  4.3931E+00  3.5263E+00  9.9966E-01  9.9960E-01  9.9966E-01  9.9963E-01  9.9973E-01
  Mn   25    0  6.9744E+00  6.2016E+01  3.6842E+00  2.5382E+00  1.0497E+00  1.0667E+00  1.0625E+00  1.0554E+00  1.0385E+00
  Fe   26    0  6.6285E+00  1.6979E+01  4.3847E+00  3.5111E+00  9.9957E-01  9.9945E-01  9.9962E-01  9.9952E-01  9.9967E-01
  Co   27    0  1.1129E+01  8.6167E+00  6.9185E+00  9.2264E+00  1.0782E+00  1.1051E+00  1.0976E+00  1.0944E+00  1.0655E+00
  Ni   28    0  1.1161E+01  2.6911E+01  7.9470E+00  6.5276E+00  9.9589E-01  9.9439E-01  9.9470E-01  9.9545E-01  9.9681E-01
  Cu   29    0  3.0264E+01  3.4811E+01  4.7777E+01  4.2585E+01  1.0525E+00  1.0681E+00  1.0598E+00  1.0788E+00  1.0541E+00
  Zn   30    0  1.5527E+01  2.2739E+01  3.3860E+01  2.4644E+01  9.9787E-01  9.9685E-01  9.9657E-01  9.9949E-01  9.9956E-01
  Ga   31    0  5.2657E+01  8.8432E+01  1.6710E+02  9.5378E+01  1.0225E+00  1.0295E+00  1.0267E+00  1.0313E+00  1.0216E+00
  Ge   32    0  3.4008E+01  6.1723E+01  9.3108E+01  5.4345E+01  1.0022E+00  1.0027E+00  1.0021E+00  1.0042E+00  1.0029E+00
  As   33    0  5.3566E+01  9.6768E+01  1.6024E+02  9.1852E+01  9.9479E-01  9.9261E-01  9.9225E-01  9.9479E-01  9.9642E-01
  Se   34    0  2.8564E+01  5.4043E+01  1.0023E+02  3.8999E+01  9.9938E-01  9.9921E-01  9.9944E-01  1.0002E+00  1.0002E+00
  Br   35    0  2.2001E+01  4.9053E+01  6.5593E+01  3.2974E+01  9.9250E-01  9.8917E-01  9.8860E-01  9.9054E-01  9.9345E-01
  Kr   36    0  1.8555E+01  5.4094E+01  7.8081E+01  2.3804E+01  1.0066E+00  1.0088E+00  1.0080E+00  1.0081E+00  1.0056E+00
