isotope,a,z,yield,mass,metallicity,irv
Ti50,50,22,7.2631e-06,20.0,0.0134,0.0
V50,50,23,2.177e-07,20.0,0.0134,0.0
V51,51,23,2.1106e-05,20.0,0.0134,0.0
Cr50,50,24,8.9557e-05,20.0,0.0134,0.0
Cr52,52,24,0.0010519,20.0,0.0134,0.0
Cr53,53,24,0.00013467,20.0,0.0134,0.0
Cr54,54,24,1.8155e-05,20.0,0.0134,0.0
Mn55,55,25,0.00078205,20.0,0.0134,0.0
Fe54,54,26,0.0068045,20.0,0.0134,0.0
Fe56,56,26,0.090034,20.0,0.0134,0.0
Fe57,57,26,0.0033387,20.0,0.0134,0.0
Fe58,58,26,0.00066563,20.0,0.0134,0.0
Co59,59,27,0.00055287,20.0,0.0134,0.0
Ni58,58,28,0.0058226,20.0,0.0134,0.0
Ni60,60,28,0.0018102,20.0,0.0134,0.0
Ni61,61,28,0.00017043,20.0,0.0134,0.0
Ni62,62,28,0.00090652,20.0,0.0134,0.0
Ni64,64,28,9.3056e-05,20.0,0.0134,0.0
Cu63,63,29,9.3072e-05,20.0,0.0134,0.0
Cu65,65,29,5.1275e-05,20.0,0.0134,0.0
Zn64,64,30,3.6764e-05,20.0,0.0134,0.0
Zn66,66,30,6.1402e-05,20.0,0.0134,0.0
Zn67,67,30,9.894e-06,20.0,0.0134,0.0
Zn68,68,30,4.0298e-05,20.0,0.0134,0.0
Zn70,70,30,7.0261e-07,20.0,0.0134,0.0
Ga69,69,31,6.247e-06,20.0,0.0134,0.0
Ga71,71,31,4.7973e-06,20.0,0.0134,0.0
Ge70,70,32,7.5697e-06,20.0,0.0134,0.0
Ge72,72,32,7.3361e-06,20.0,0.0134,0.0
Ge73,73,32,2.0246e-06,20.0,0.0134,0.0
Ge74,74,32,7.6377e-06,20.0,0.0134,0.0
Ge76,76,32,5.8464e-07,20.0,0.0134,0.0
As75,75,33,1.7237e-06,20.0,0.0134,0.0
Se74,74,34,2.8896e-07,20.0,0.0134,0.0
Se76,76,34,1.6017e-06,20.0,0.0134,0.0
Se77,77,34,1.098e-06,20.0,0.0134,0.0
Se78,78,34,2.4621e-06,20.0,0.0134,0.0
Se80,80,34,2.6789e-06,20.0,0.0134,0.0
Se82,82,34,3.2843e-07,20.0,0.0134,0.0
Br79,79,35,7.1222e-07,20.0,0.0134,0.0
Br81,81,35,5.8539e-07,20.0,0.0134,0.0
Kr78,78,36,1.8711e-08,20.0,0.0134,0.0
Kr80,80,36,2.0075e-07,20.0,0.0134,0.0
Kr82,82,36,7.1118e-07,20.0,0.0134,0.0
Kr83,83,36,5.7033e-07,20.0,0.0134,0.0
Kr84,84,36,2.1326e-06,20.0,0.0134,0.0
Kr86,86,36,9.6639e-07,20.0,0.0134,0.0
Rb85,85,37,6.7869e-07,20.0,0.0134,0.0
Rb87,87,37,4.6368e-07,20.0,0.0134,0.0
Sr84,84,38,1.6423e-08,20.0,0.0134,0.0
Sr86,86,38,3.2353e-07,20.0,0.0134,0.0
Sr87,87,38,1.7413e-07,20.0,0.0134,0.0
Sr88,88,38,1.6286e-06,20.0,0.0134,0.0
Y89,89,39,3.5042e-07,20.0,0.0134,0.0
Zr90,90,40,3.3448e-07,20.0,0.0134,0.0
Zr91,91,40,8.1628e-08,20.0,0.0134,0.0
Zr92,92,40,1.1175e-07,20.0,0.0134,0.0
Zr94,94,40,9.8513e-08,20.0,0.0134,0.0
Zr96,96,40,4.5608e-09,20.0,0.0134,0.0
Nb93,93,41,4.3648e-08,20.0,0.0134,0.0
Mo92,92,42,1.5914e-08,20.0,0.0134,0.0
Mo94,94,42,1.2213e-08,20.0,0.0134,0.0
Mo95,95,42,1.7583e-08,20.0,0.0134,0.0
Mo96,96,42,3.1425e-08,20.0,0.0134,0.0
Mo97,97,42,1.0078e-08,20.0,0.0134,0.0
Mo98,98,42,2.6257e-08,20.0,0.0134,0.0
Xe32,132,54,8.2648e-08,20.0,0.0134,0.0
Xe34,134,54,2.8799e-08,20.0,0.0134,0.0
Cs33,133,55,1.9825e-08,20.0,0.0134,0.0
Ba34,134,56,1.0805e-08,20.0,0.0134,0.0
Ba35,135,56,1.6635e-08,20.0,0.0134,0.0
Ba36,136,56,2.9817e-08,20.0,0.0134,0.0
Ba37,137,56,3.4347e-08,20.0,0.0134,0.0
Ba38,138,56,2.3904e-07,20.0,0.0134,0.0
La38,138,57,2.0769e-11,20.0,0.0134,0.0
La39,139,57,2.773e-08,20.0,0.0134,0.0
Ce40,140,58,6.7224e-08,20.0,0.0134,0.0
Pr41,141,59,1.0005e-08,20.0,0.0134,0.0
Nd42,142,60,1.708e-08,20.0,0.0134,0.0
Nd43,143,60,5.37e-09,20.0,0.0134,0.0
Nd44,144,60,1.1686e-08,20.0,0.0134,0.0
Hg02,202,80,1.2708e-08,20.0,0.0134,0.0
Hg04,204,80,2.4462e-09,20.0,0.0134,0.0
Tl03,203,81,6.8222e-09,20.0,0.0134,0.0
Tl05,205,81,1.5354e-08,20.0,0.0134,0.0
Pb04,204,82,4.5357e-09,20.0,0.0134,0.0
Pb06,206,82,3.2621e-08,20.0,0.0134,0.0
Pb07,207,82,3.4186e-08,20.0,0.0134,0.0
Pb08,208,82,9.5715e-08,20.0,0.0134,0.0
Bi09,209,83,1.2119e-08,20.0,0.0134,0.0
H,1,1,10.135,25.0,0.0134,0.0
H2,2,1,7.3598e-06,25.0,0.0134,0.0
He3,3,2,0.00054836,25.0,0.0134,0.0
He4,4,2,8.3288,25.0,0.0134,0.0
Li6,6,3,1.5018e-10,25.0,0.0134,0.0
Li7,7,3,2.2821e-09,25.0,0.0134,0.0
Be9,9,4,7.6757e-11,25.0,0.0134,0.0
B10,10,5,5.97e-10,25.0,0.0134,0.0
B11,11,5,1.348e-08,25.0,0.0134,0.0
C12,12,6,0.61944,25.0,0.0134,0.0
C13,13,6,0.0012839,25.0,0.0134,0.0
N14,14,7,0.059383,25.0,0.0134,0.0
N15,15,7,1.2828e-05,25.0,0.0134,0.0
O16,16,8,2.4724,25.0,0.0134,0.0
O17,17,8,4.7633e-05,25.0,0.0134,0.0
O18,18,8,0.0040082,25.0,0.0134,0.0
F19,19,9,6.2331e-06,25.0,0.0134,0.0
Ne20,20,10,0.86041,25.0,0.0134,0.0
Ne21,21,10,0.00091246,25.0,0.0134,0.0
Ne22,22,10,0.028013,25.0,0.0134,0.0
Na23,23,11,0.021658,25.0,0.0134,0.0
Mg24,24,12,0.11543,25.0,0.0134,0.0
Mg25,25,12,0.022406,25.0,0.0134,0.0
Mg26,26,12,0.022161,25.0,0.0134,0.0
Al27,27,13,0.017666,25.0,0.0134,0.0
Si28,28,14,0.12379,25.0,0.0134,0.0
Si29,29,14,0.0051387,25.0,0.0134,0.0
Si30,30,14,0.0050028,25.0,0.0134,0.0
P31,31,15,0.001542,25.0,0.0134,0.0
S32,32,16,0.045946,25.0,0.0134,0.0
S33,33,16,0.0007118,25.0,0.0134,0.0
S34,34,16,0.0049044,25.0,0.0134,0.0
S36,36,16,1.0495e-05,25.0,0.0134,0.0
Cl35,35,17,0.0005771,25.0,0.0134,0.0
Cl37,37,17,0.00018263,25.0,0.0134,0.0
Ar36,36,18,0.0069967,25.0,0.0134,0.0
Ar38,38,18,0.0022337,25.0,0.0134,0.0
