  ele   Z    A    013a000     015a000     020a000     025a000     030a000     040a000     060a000     080a000     120a000
  Xe   54    0  1.0953E+00  1.6136E+00  1.2320E+00  1.2900E+00  1.4757E+00  1.6574E+00  2.3331E+00  2.2198E+00  1.8289E+00
  Cs   55    0  1.0320E+00  1.4024E+00  1.1015E+00  1.1318E+00  1.3081E+00  1.4981E+00  2.0721E+00  1.8058E+00  1.4966E+00
  Ba   56    0  1.3611E+00  1.9654E+00  1.5529E+00  1.6845E+00  2.2019E+00  2.3657E+00  2.8883E+00  2.5715E+00  2.1139E+00
  La   57    0  1.2187E+00  1.5896E+00  1.4626E+00  1.5269E+00  2.0155E+00  2.2332E+00  2.4656E+00  2.1397E+00  1.7467E+00
  Ce   58    0  1.0979E+00  1.2529E+00  1.2335E+00  1.2565E+00  1.5149E+00  1.6327E+00  1.7267E+00  1.6440E+00  1.4504E+00
  Pr   59    0  1.0385E+00  1.3949E+00  1.9039E+00  1.1798E+00  1.3344E+00  1.7978E+00  1.7807E+00  1.9135E+00  1.6901E+00
  Nd   60    0  1.0891E+00  1.1179E+00  1.0683E+00  1.3397E+00  1.4335E+00  1.4073E+00  1.4987E+00  1.5034E+00  1.3542E+00
  Hg   80    0  1.1103E+00  1.1471E+00  1.1279E+00  1.1000E+00  1.2397E+00  1.2569E+00  1.3910E+00  1.3517E+00  1.3518E+00
  Tl   81    0  9.9863E-01  1.0200E+00  9.9611E-01  1.0508E+00  1.2381E+00  1.3016E+00  1.3797E+00  1.2734E+00  1.1878E+00
  Pb   82    0  1.0712E+00  1.1086E+00  1.1618E+00  1.1925E+00  1.3975E+00  1.4334E+00  1.4668E+00  1.4099E+00  1.2928E+00
  Bi   83    0  9.0645E-01  8.1775E-01  8.9964E-01  9.1076E-01  9.4650E-01  9.5533E-01  9.6647E-01  9.5393E-01  9.6881E-01
  ele   Z    A    013a300     015a300     020a300     025a300     030a300     040a300     060a300     080a300     120a300
